order_number,customer_state,index,order_number,employee_id,employee_name,employee_job_title,order_date,order_type,customer_type,cust_id,customer_name,prod_category,prod_number,prod_name,quantity,price,order_total
1104652,Texas,42,1104652,900019019,Alexandra Kundt,Senior Sales Associate,10/15/2019,Wholesale,Business,3515,Labadie Inc,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,2,$234.00 ,468.0
1104710,Oklahoma,43,1104710,900019019,Alexandra Kundt,Senior Sales Associate,10/23/2019,Retail,Individual,1307,Levon Bhatia,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,$16.75 ,50.25
1104730,Texas,44,1104730,900019019,Alexandra Kundt,Senior Sales Associate,10/26/2019,Retail,Individual,2863,Charmine Eyers,Bath products,BP505,Vanilla and Olive Oil Lotion,4,$9.99 ,39.96
1104858,Missouri,45,1104858,900019019,Alexandra Kundt,Senior Sales Associate,11/14/2019,Retail,Individual,1274,Marianna Folland,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,3,$14.50 ,43.5
1104920,Oklahoma,46,1104920,900019019,Alexandra Kundt,Senior Sales Associate,11/22/2019,Retail,Individual,2523,Gan Philipsson,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,1,$234.00 ,234.0
1104955,Texas,47,1104955,900019019,Alexandra Kundt,Senior Sales Associate,11/27/2019,Retail,Individual,2677,Aurore Rudinger,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,2,$45.00 ,90.0
1105004,Louisiana,48,1105004,900019019,Alexandra Kundt,Senior Sales Associate,12/3/2019,Retail,Individual,1167,Jethro Breagan,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,4,$45.00 ,180.0
1105012,Texas,49,1105012,900019019,Alexandra Kundt,Senior Sales Associate,12/4/2019,Retail,Individual,1538,Myrtia Scupham,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,3,$114.00 ,342.0
1105005,Texas,50,1105005,900019019,Alexandra Kundt,Senior Sales Associate,12/4/2019,Retail,Individual,1583,Georgianna Harrild,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,$45.00 ,90.0
1105044,Texas,51,1105044,900019019,Alexandra Kundt,Senior Sales Associate,12/10/2019,Retail,Individual,1787,Cilka Bonifant,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,2,$45.00 ,90.0
1105047,Texas,52,1105047,900019019,Alexandra Kundt,Senior Sales Associate,12/10/2019,Retail,Individual,3660,Ilise Wasiela,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,$45.00 ,45.0
1105049,Louisiana,53,1105049,900019019,Alexandra Kundt,Senior Sales Associate,12/11/2019,Retail,Individual,1671,Viv Frankton,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,3,$14.50 ,43.5
1105097,Oklahoma,54,1105097,900019019,Alexandra Kundt,Senior Sales Associate,12/18/2019,Retail,Individual,3542,Dean Wharin,Bath products,BP502,Vanilla and Olive Oil Candle,3,$6.99 ,20.97
1105155,Texas,55,1105155,900019019,Alexandra Kundt,Senior Sales Associate,12/28/2019,Retail,Individual,3692,Lucila Aylward,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,3,$123.00 ,369.0
1105172,Arkansas,56,1105172,900019019,Alexandra Kundt,Senior Sales Associate,12/29/2019,Retail,Individual,3765,Lolita Dreschler,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,$45.00 ,45.0
1105185,Texas,57,1105185,900019019,Alexandra Kundt,Senior Sales Associate,1/1/2020,Retail,Individual,2206,Abey Jacquemard,Bath products,BP502,Vanilla and Olive Oil Candle,3,$6.99 ,20.97
1105245,Mississippi,58,1105245,900019019,Alexandra Kundt,Senior Sales Associate,1/8/2020,Retail,Individual,2253,Far Pow,Bath products,BP501,Vanilla and Olive Bath Salts,3,$8.50 ,25.5
1105246,Texas,59,1105246,900019019,Alexandra Kundt,Senior Sales Associate,1/8/2020,Retail,Individual,1268,Skippie Anthill,Bath products,BP105,Lavender and Olive Oil Lotion,4,$9.99 ,39.96
1105247,Missouri,60,1105247,900019019,Alexandra Kundt,Senior Sales Associate,1/9/2020,Retail,Individual,4003,Calla Bonhan,Bath products,BP302,Mandarin and Olive Candle,2,$6.99 ,13.98
1105260,Oklahoma,61,1105260,900019019,Alexandra Kundt,Senior Sales Associate,1/10/2020,Retail,Individual,2523,Gan Philipsson,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,4,$234.00 ,936.0
1105303,Texas,62,1105303,900019019,Alexandra Kundt,Senior Sales Associate,1/19/2020,Retail,Individual,1643,Pollyanna Stonehewer,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,1,$234.00 ,234.0
1105318,Missouri,63,1105318,900019019,Alexandra Kundt,Senior Sales Associate,1/20/2020,Retail,Individual,4003,Calla Bonhan,Bath products,BP303,Mandarin and Olive Oil Bar Soap,4,$5.99 ,23.96
1105359,Texas,64,1105359,900019019,Alexandra Kundt,Senior Sales Associate,1/26/2020,Retail,Individual,2539,Gipsy MacLeod,Olive Oil,OO302,Chili Extra Virgin Olive Oil,3,$26.00 ,78.0
1105403,Louisiana,65,1105403,900019019,Alexandra Kundt,Senior Sales Associate,2/2/2020,Retail,Individual,1167,Jethro Breagan,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,1,$45.00 ,45.0
1105491,Louisiana,66,1105491,900019019,Alexandra Kundt,Senior Sales Associate,2/14/2020,Retail,Individual,1671,Viv Frankton,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,2,$114.00 ,228.0
1105521,Texas,67,1105521,900019019,Alexandra Kundt,Senior Sales Associate,2/19/2020,Wholesale,Business,4083,Swift Inc,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,3,$234.00 ,702.0
1105541,Oklahoma,68,1105541,900019019,Alexandra Kundt,Senior Sales Associate,2/22/2020,Wholesale,Business,2651,Fadel Inc,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,4,$234.00 ,936.0
1105560,Texas,69,1105560,900019019,Alexandra Kundt,Senior Sales Associate,2/25/2020,Retail,Individual,1538,Myrtia Scupham,Olive Oil,OO603,Extra Virgin Olive Oil - Delicate 6pk,2,$114.00 ,228.0
1105593,Texas,70,1105593,900019019,Alexandra Kundt,Senior Sales Associate,2/29/2020,Retail,Individual,3050,Damian Murcutt,Gift Basket,GB106,Basil EVOO Gift Basket,4,$75.00 ,300.0
1105601,Louisiana,71,1105601,900019019,Alexandra Kundt,Senior Sales Associate,3/2/2020,Retail,Individual,1255,Christiano Tuson,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,1,$114.00 ,114.0
1105655,Texas,72,1105655,900019019,Alexandra Kundt,Senior Sales Associate,3/9/2020,Retail,Individual,1984,Jewel Prandoni,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,2,$123.00 ,246.0
1105682,Texas,73,1105682,900019019,Alexandra Kundt,Senior Sales Associate,3/13/2020,Retail,Individual,3896,Devlin Nock,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,$5.99 ,23.96
1105691,Texas,74,1105691,900019019,Alexandra Kundt,Senior Sales Associate,3/14/2020,Retail,Individual,1594,Kellen Mochan,Gift Basket,GB300,Deluxe Bath Gift Basket,3,$115.00 ,345.0
1105736,Texas,75,1105736,900019019,Alexandra Kundt,Senior Sales Associate,3/21/2020,Retail,Individual,1333,Shaine McGrann,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,4,$114.00 ,456.0
1105779,Texas,76,1105779,900019019,Alexandra Kundt,Senior Sales Associate,3/25/2020,Wholesale,Business,4083,Swift Inc,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,4,$234.00 ,936.0
1105853,Arkansas,77,1105853,900019019,Alexandra Kundt,Senior Sales Associate,4/5/2020,Retail,Individual,1928,Zonnya Machon,Olive Oil,OO305,Extra Virgin Olive Oil - Trio 3pk,2,$70.00 ,140.0
1105955,Texas,78,1105955,900019019,Alexandra Kundt,Senior Sales Associate,4/22/2020,Wholesale,Business,3709,Gerhold Inc,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,1,$234.00 ,234.0
1106021,Oklahoma,79,1106021,900019019,Alexandra Kundt,Senior Sales Associate,5/4/2020,Retail,Individual,1329,Blondie Maseres,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,3,$114.00 ,342.0
1106071,Texas,80,1106071,900019019,Alexandra Kundt,Senior Sales Associate,5/11/2020,Retail,Individual,1859,Kristofer Kneath,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,1,$24.50 ,24.5
1106091,Oklahoma,81,1106091,900019019,Alexandra Kundt,Senior Sales Associate,5/13/2020,Retail,Individual,1913,Tann Angear,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,3,$45.00 ,135.0
1106149,Texas,82,1106149,900019019,Alexandra Kundt,Senior Sales Associate,5/19/2020,Retail,Individual,1333,Shaine McGrann,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,3,$123.00 ,369.0
1106172,Missouri,83,1106172,900019019,Alexandra Kundt,Senior Sales Associate,5/23/2020,Retail,Individual,3186,Granny Matevosian,Bath products,BP501,Vanilla and Olive Bath Salts,4,$8.50 ,34.0
1106215,Texas,84,1106215,900019019,Alexandra Kundt,Senior Sales Associate,5/30/2020,Wholesale,Business,4090,Hilll Group,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,5,$234.00 ,1170.0
1106262,Texas,85,1106262,900019019,Alexandra Kundt,Senior Sales Associate,6/5/2020,Retail,Individual,1643,Pollyanna Stonehewer,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,4,$123.00 ,492.0
1106398,Texas,86,1106398,900019019,Alexandra Kundt,Senior Sales Associate,6/25/2020,Retail,Individual,3692,Lucila Aylward,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,4,$14.50 ,58.0
1106402,Texas,87,1106402,900019019,Alexandra Kundt,Senior Sales Associate,6/26/2020,Retail,Individual,4096,Mia Walkden,Olive Oil,OO304,Extra Virgin Olive Oil - Medium,4,$24.50 ,98.0
1106567,Arkansas,88,1106567,900019019,Alexandra Kundt,Senior Sales Associate,7/14/2020,Retail,Individual,1928,Zonnya Machon,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,4,$45.00 ,180.0
1106586,Oklahoma,89,1106586,900019019,Alexandra Kundt,Senior Sales Associate,7/17/2020,Retail,Individual,1329,Blondie Maseres,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,$27.00 ,27.0
1106684,Oklahoma,90,1106684,900019019,Alexandra Kundt,Senior Sales Associate,7/29/2020,Wholesale,Business,2651,Fadel Inc,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,2,$234.00 ,468.0
1106703,Texas,91,1106703,900019019,Alexandra Kundt,Senior Sales Associate,8/1/2020,Wholesale,Business,3709,Gerhold Inc,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,4,$234.00 ,936.0
1106712,Missouri,92,1106712,900019019,Alexandra Kundt,Senior Sales Associate,8/2/2020,Retail,Individual,1809,Lanni D'Ambrogi,Bath products,BP105,Lavender and Olive Oil Lotion,1,$9.99 ,9.99
1106741,Texas,93,1106741,900019019,Alexandra Kundt,Senior Sales Associate,8/6/2020,Retail,Individual,1991,Richy Mateiko,Olive Oil,OO308,Basil Extra Virgin Olive Oil,4,$26.00 ,104.0
1106753,Louisiana,94,1106753,900019019,Alexandra Kundt,Senior Sales Associate,8/8/2020,Retail,Individual,1255,Christiano Tuson,Gift Basket,GB302,Scented Olive Oil Bath Soap Gift Basket,3,$45.00 ,135.0
1106767,Mississippi,95,1106767,900019019,Alexandra Kundt,Senior Sales Associate,8/10/2020,Retail,Individual,1663,Cally Roughley,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,$16.75 ,50.25
1106778,Texas,96,1106778,900019019,Alexandra Kundt,Senior Sales Associate,8/11/2020,Wholesale,Business,3612,Borer LLC,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,6,$234.00 ,1404.0
1106896,Mississippi,97,1106896,900019019,Alexandra Kundt,Senior Sales Associate,8/28/2020,Retail,Individual,1663,Cally Roughley,Gift Basket,GB106,Basil EVOO Gift Basket,3,$75.00 ,225.0
1106905,Texas,98,1106905,900019019,Alexandra Kundt,Senior Sales Associate,8/29/2020,Retail,Individual,3654,Gabriel Polini,Bath products,BP500,Vanilla and Olive Oil Body Soap,4,$7.45 ,29.8
1106904,Texas,99,1106904,900019019,Alexandra Kundt,Senior Sales Associate,8/29/2020,Retail,Individual,1333,Shaine McGrann,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,$27.00 ,27.0
1106956,Texas,100,1106956,900019019,Alexandra Kundt,Senior Sales Associate,9/5/2020,Retail,Individual,3050,Damian Murcutt,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,$45.00 ,45.0
1107033,Texas,101,1107033,900019019,Alexandra Kundt,Senior Sales Associate,9/17/2020,Retail,Individual,1991,Richy Mateiko,Olive Oil,OO603,Extra Virgin Olive Oil - Delicate 6pk,3,$114.00 ,342.0
1107082,Texas,102,1107082,900019019,Alexandra Kundt,Senior Sales Associate,9/23/2020,Retail,Individual,1787,Cilka Bonifant,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,2,$123.00 ,246.0
1107108,Texas,103,1107108,900019019,Alexandra Kundt,Senior Sales Associate,9/28/2020,Wholesale,Business,2402,Daugherty Group,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,13,$234.00 ,3042.0
1107126,Texas,104,1107126,900019019,Alexandra Kundt,Senior Sales Associate,10/1/2020,Retail,Individual,2013,Rourke Bernardt,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,3,$234.00 ,702.0
1107133,Texas,105,1107133,900019019,Alexandra Kundt,Senior Sales Associate,10/2/2020,Retail,Individual,3050,Damian Murcutt,Bath products,BP301,Mandarin and Olive Bath Salts,3,$8.50 ,25.5
1107150,Louisiana,107,1107150,900019019,Alexandra Kundt,Senior Sales Associate,10/4/2020,Retail,Individual,1976,Erik Grinley,Bath products,BP305,Mandarin and Olive Oil Lotion,4,$9.99 ,39.96
1107176,New Mexico,108,1107176,900019019,Alexandra Kundt,Senior Sales Associate,10/9/2020,Retail,Individual,4037,Sheena Steuhlmeyer,Bath products,BP101,Lavender and Olive Bath Salts,3,$8.50 ,25.5
1107183,Texas,109,1107183,900019019,Alexandra Kundt,Senior Sales Associate,10/10/2020,Wholesale,Business,3612,Borer LLC,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,8,$234.00 ,1872.0
1107224,Texas,110,1107224,900019019,Alexandra Kundt,Senior Sales Associate,10/14/2020,Wholesale,Business,3612,Borer LLC,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,2,$234.00 ,468.0
1107239,New Mexico,111,1107239,900019019,Alexandra Kundt,Senior Sales Associate,10/17/2020,Retail,Individual,4037,Sheena Steuhlmeyer,Bath products,BP504,Vanilla and Olive Oil Bar Soap 3pk,3,$14.50 ,43.5
1107294,Texas,112,1107294,900019019,Alexandra Kundt,Senior Sales Associate,10/24/2020,Wholesale,Business,2402,Daugherty Group,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,8,$234.00 ,1872.0
1107306,Louisiana,113,1107306,900019019,Alexandra Kundt,Senior Sales Associate,10/27/2020,Retail,Individual,1976,Erik Grinley,Gift Basket,GB100,Organic EVOO Gift Basket,3,$70.00 ,210.0
1107314,Oklahoma,114,1107314,900019019,Alexandra Kundt,Senior Sales Associate,10/28/2020,Retail,Individual,1307,Levon Bhatia,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,$45.00 ,135.0
1107392,Texas,115,1107392,900019019,Alexandra Kundt,Senior Sales Associate,11/9/2020,Retail,Individual,1583,Georgianna Harrild,Bath products,BP305,Mandarin and Olive Oil Lotion,2,$9.99 ,19.98
1107432,Missouri,117,1107432,900019019,Alexandra Kundt,Senior Sales Associate,11/14/2020,Retail,Individual,1274,Marianna Folland,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,4,$24.50 ,98.0
1107566,Texas,118,1107566,900019019,Alexandra Kundt,Senior Sales Associate,12/1/2020,Retail,Individual,2013,Rourke Bernardt,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,3,$24.50 ,73.5
1107575,Oklahoma,119,1107575,900019019,Alexandra Kundt,Senior Sales Associate,12/3/2020,Wholesale,Business,2651,Fadel Inc,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,2,$234.00 ,468.0
1107657,Texas,120,1107657,900019019,Alexandra Kundt,Senior Sales Associate,12/14/2020,Retail,Individual,2678,Carmine Priestnall,Bath products,BP300,Mandarin and Olive Body Soap,3,$7.45 ,22.35
1107678,Texas,121,1107678,900019019,Alexandra Kundt,Senior Sales Associate,12/17/2020,Wholesale,Business,3515,Labadie Inc,Gift Basket,GB101,Infused EVOO Gift Basket,7,$75.00 ,525.0
1107707,Texas,122,1107707,900019019,Alexandra Kundt,Senior Sales Associate,12/20/2020,Wholesale,Business,4083,Swift Inc,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,2,$234.00 ,468.0
1107720,Texas,123,1107720,900019019,Alexandra Kundt,Senior Sales Associate,12/23/2020,Retail,Individual,3660,Ilise Wasiela,Bath products,BP302,Mandarin and Olive Candle,4,$6.99 ,27.96
1107733,Texas,124,1107733,900019019,Alexandra Kundt,Senior Sales Associate,12/24/2020,Retail,Individual,2013,Rourke Bernardt,Bath products,BP501,Vanilla and Olive Bath Salts,3,$8.50 ,25.5
1107741,Oklahoma,125,1107741,900019019,Alexandra Kundt,Senior Sales Associate,12/25/2020,Retail,Individual,1913,Tann Angear,Olive Oil,OO309,Garlic Extra Virgin Olive Oil,4,$26.00 ,104.0
1107743,Texas,126,1107743,900019019,Alexandra Kundt,Senior Sales Associate,12/26/2020,Retail,Individual,2539,Gipsy MacLeod,Olive Oil,OO308,Basil Extra Virgin Olive Oil,2,$26.00 ,52.0
1107782,Louisiana,127,1107782,900019019,Alexandra Kundt,Senior Sales Associate,12/31/2020,Retail,Individual,3366,Marijn Alden,Bath products,BP101,Lavender and Olive Bath Salts,1,$8.50 ,8.5
1107872,Texas,128,1107872,900019019,Alexandra Kundt,Senior Sales Associate,1/14/2021,Retail,Individual,2863,Charmine Eyers,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,$16.75 ,50.25
1107934,Oklahoma,130,1107934,900019019,Alexandra Kundt,Senior Sales Associate,1/22/2021,Wholesale,Business,2651,Fadel Inc,Bath products,BP102,Lavender and Olive Candle,4,$6.99 ,27.96
1102878,North Carolina,131,1102878,900018213,Alisha Hendricks,Senior Sales Representative,2/1/2019,Retail,Individual,1961,Merrel Drawmer,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,$5.99 ,23.96
1102928,Maryland,132,1102928,900018213,Alisha Hendricks,Senior Sales Representative,2/8/2019,Retail,Individual,2392,Janaya Cozzi,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,1,$123.00 ,123.0
