order number,employee id,employee name,employee name,employee_job_title,order date,order type,customer type,cust id,customer name,customer name,prod category,prod number,prod_name,quantity,price,order total
1103462,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,4/28/2019,Retail,Individual,1268,Skippie Anthill,Skippie Anthill,Olive Oil,OO607,Garlic Extra Virgin Olive Oil 6pk,2,$123.00 ,246
1103461,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,4/28/2019,Retail,Individual,2523,Gan Philipsson,Gan Philipsson,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,$45.00 ,90
1103475,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,4/29/2019,Retail,Individual,3654,Gabriel Polini,Gabriel Polini,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,3,$30.00 ,90
1103475,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,4/29/2019,Retail,Individual,3654,Gabriel Polini,Gabriel Polini,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,3,$30.00 ,90
1103537,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/6/2019,Retail,Individual,2253,Far Pow,Far Pow,Gift Basket,GB101,Infused EVOO Gift Basket,3,$75.00 ,225
1103597,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/14/2019,Wholesale,Business,3709,Gerhold Inc,Gerhold Inc,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,$234.00 ,2574
1103614,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/16/2019,Retail,Individual,4037,Sheena Steuhlmeyer,Sheena Steuhlmeyer,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,4,$123.00 ,492
1103631,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/19/2019,Wholesale,Business,2402,Daugherty Group,Daugherty Group,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,14,$234.00 ,3276
1103811,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,6/17/2019,Wholesale,Business,4090,Hilll Group,Hilll Group,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,1,$234.00 ,234
1103824,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,6/18/2019,Retail,Individual,3654,Gabriel Polini,Gabriel Polini,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,3,$234.00 ,702
1103901,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,6/29/2019,Retail,Individual,1951,Lincoln Bloxholm,Lincoln Bloxholm,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,$234.00 ,468
1104026,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/14/2019,Retail,Individual,4096,Mia Walkden,Mia Walkden,Bath products,BP300,Mandarin and Olive Body Soap,3,$7.45 ,22.35
1104067,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/21/2019,Retail,Individual,1976,Erik Grinley,Erik Grinley,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,2,$19.50 ,39
1104066,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/21/2019,Retail,Individual,4107,Alexis Cripps,Alexis Cripps,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,$234.00 ,468
1104083,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/22/2019,Wholesale,Business,3709,Gerhold Inc,Gerhold Inc,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,$234.00 ,2574
1104122,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/28/2019,Retail,Individual,1671,Viv Frankton,Viv Frankton,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,3,$234.00 ,702
1104198,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/8/2019,Retail,Individual,2013,Rourke Bernardt,Rourke Bernardt,Gift Basket,GB100,Organic EVOO Gift Basket,1,$70.00 ,70
1104231,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/14/2019,Retail,Individual,1984,Jewel Prandoni,Jewel Prandoni,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,3,$234.00 ,702
1104317,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/26/2019,Retail,Individual,3765,Lolita Dreschler,Lolita Dreschler,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,$27.00 ,27
1104404,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/7/2019,Retail,Individual,1583,Georgianna Harrild,Georgianna Harrild,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,$5.99 ,23.96
1104460,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/16/2019,Retail,Individual,1594,Kellen Mochan,Kellen Mochan,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,1,$14.50 ,14.5
1104506,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/23/2019,Retail,Individual,1345,Aridatha Revett,Aridatha Revett,Olive Oil,OO608,Rosemary Extra Virgin Olive Oil 6pk,2,$123.00 ,246
1104527,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/27/2019,Retail,Individual,2954,Annaliese Sheeres,Annaliese Sheeres,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,4,$14.50 ,58
1104558,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/1/2019,Retail,Individual,3366,Marijn Alden,Marijn Alden,Gift Basket,GB304,Scented Olive Oil Bath Salts Gift Basket,3,$35.00 ,105
1104555,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/1/2019,Retail,Individual,2942,Mandi de Merida,Mandi de Merida,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,2,$45.00 ,90
1104652,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/15/2019,Wholesale,Business,3515,Labadie Inc,Labadie Inc,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,2,$234.00 ,468
1104710,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/23/2019,Retail,Individual,1307,Levon Bhatia,Levon Bhatia,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,$16.75 ,50.25
1104730,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/26/2019,Retail,Individual,2863,Charmine Eyers,Charmine Eyers,Bath products,BP505,Vanilla and Olive Oil Lotion,4,$9.99 ,39.96
1104858,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,11/14/2019,Retail,Individual,1274,Marianna Folland,Marianna Folland,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,3,$14.50 ,43.5
1104920,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,11/22/2019,Retail,Individual,2523,Gan Philipsson,Gan Philipsson,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,1,$234.00 ,234
1104955,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,11/27/2019,Retail,Individual,2677,Aurore Rudinger,Aurore Rudinger,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,2,$45.00 ,90
1105004,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/3/2019,Retail,Individual,1167,Jethro Breagan,Jethro Breagan,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,4,$45.00 ,180
1105012,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/4/2019,Retail,Individual,1538,Myrtia Scupham,Myrtia Scupham,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,3,$114.00 ,342
1105005,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/4/2019,Retail,Individual,1583,Georgianna Harrild,Georgianna Harrild,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,$45.00 ,90
1105044,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/10/2019,Retail,Individual,1787,Cilka Bonifant,Cilka Bonifant,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,2,$45.00 ,90
1105047,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/10/2019,Retail,Individual,3660,Ilise Wasiela,Ilise Wasiela,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,$45.00 ,45
1105049,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/11/2019,Retail,Individual,1671,Viv Frankton,Viv Frankton,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,3,$14.50 ,43.5
1105097,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/18/2019,Retail,Individual,3542,Dean Wharin,Dean Wharin,Bath products,BP502,Vanilla and Olive Oil Candle,3,$6.99 ,20.97
1105155,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/28/2019,Retail,Individual,3692,Lucila Aylward,Lucila Aylward,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,3,$123.00 ,369
1105172,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/29/2019,Retail,Individual,3765,Lolita Dreschler,Lolita Dreschler,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,$45.00 ,45
1105185,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/1/2020,Retail,Individual,2206,Abey Jacquemard,Abey Jacquemard,Bath products,BP502,Vanilla and Olive Oil Candle,3,$6.99 ,20.97
1105245,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/8/2020,Retail,Individual,2253,Far Pow,Far Pow,Bath products,BP501,Vanilla and Olive Bath Salts,3,$8.50 ,25.5
1105246,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/8/2020,Retail,Individual,1268,Skippie Anthill,Skippie Anthill,Bath products,BP105,Lavender and Olive Oil Lotion,4,$9.99 ,39.96
1105247,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/9/2020,Retail,Individual,4003,Calla Bonhan,Calla Bonhan,Bath products,BP302,Mandarin and Olive Candle,2,$6.99 ,13.98
1105260,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/10/2020,Retail,Individual,2523,Gan Philipsson,Gan Philipsson,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,4,$234.00 ,936
1105303,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/19/2020,Retail,Individual,1643,Pollyanna Stonehewer,Pollyanna Stonehewer,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,1,$234.00 ,234
1105318,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/20/2020,Retail,Individual,4003,Calla Bonhan,Calla Bonhan,Bath products,BP303,Mandarin and Olive Oil Bar Soap,4,$5.99 ,23.96
1105359,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,1/26/2020,Retail,Individual,2539,Gipsy MacLeod,Gipsy MacLeod,Olive Oil,OO302,Chili Extra Virgin Olive Oil,3,$26.00 ,78
1105403,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,2/2/2020,Retail,Individual,1167,Jethro Breagan,Jethro Breagan,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,1,$45.00 ,45
1105491,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,2/14/2020,Retail,Individual,1671,Viv Frankton,Viv Frankton,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,2,$114.00 ,228
1105521,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,2/19/2020,Wholesale,Business,4083,Swift Inc,Swift Inc,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,3,$234.00 ,702
1105541,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,2/22/2020,Wholesale,Business,2651,Fadel Inc,Fadel Inc,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,4,$234.00 ,936
1105560,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,2/25/2020,Retail,Individual,1538,Myrtia Scupham,Myrtia Scupham,Olive Oil,OO603,Extra Virgin Olive Oil - Delicate 6pk,2,$114.00 ,228
1105593,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,2/29/2020,Retail,Individual,3050,Damian Murcutt,Damian Murcutt,Gift Basket,GB106,Basil EVOO Gift Basket,4,$75.00 ,300
1105601,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,3/2/2020,Retail,Individual,1255,Christiano Tuson,Christiano Tuson,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,1,$114.00 ,114
1105655,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,3/9/2020,Retail,Individual,1984,Jewel Prandoni,Jewel Prandoni,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,2,$123.00 ,246
1105682,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,3/13/2020,Retail,Individual,3896,Devlin Nock,Devlin Nock,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,$5.99 ,23.96
1105691,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,3/14/2020,Retail,Individual,1594,Kellen Mochan,Kellen Mochan,Gift Basket,GB300,Deluxe Bath Gift Basket,3,$115.00 ,345
1105736,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,3/21/2020,Retail,Individual,1333,Shaine McGrann,Shaine McGrann,Olive Oil,OO604,Extra Virgin Olive Oil - Trio 6pk,4,$114.00 ,456
1105779,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,3/25/2020,Wholesale,Business,4083,Swift Inc,Swift Inc,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,4,$234.00 ,936
1105853,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,4/5/2020,Retail,Individual,1928,Zonnya Machon,Zonnya Machon,Olive Oil,OO305,Extra Virgin Olive Oil - Trio 3pk,2,$70.00 ,140
1105955,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,4/22/2020,Wholesale,Business,3709,Gerhold Inc,Gerhold Inc,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,1,$234.00 ,234
1106021,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/4/2020,Retail,Individual,1329,Blondie Maseres,Blondie Maseres,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,3,$114.00 ,342
1106071,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/11/2020,Retail,Individual,1859,Kristofer Kneath,Kristofer Kneath,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,1,$24.50 ,24.5
1106091,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/13/2020,Retail,Individual,1913,Tann Angear,Tann Angear,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,3,$45.00 ,135
1106149,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/19/2020,Retail,Individual,1333,Shaine McGrann,Shaine McGrann,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,3,$123.00 ,369
1106172,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/23/2020,Retail,Individual,3186,Granny Matevosian,Granny Matevosian,Bath products,BP501,Vanilla and Olive Bath Salts,4,$8.50 ,34
1106215,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,5/30/2020,Wholesale,Business,4090,Hilll Group,Hilll Group,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,5,$234.00 ,1170
1106262,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,6/5/2020,Retail,Individual,1643,Pollyanna Stonehewer,Pollyanna Stonehewer,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,4,$123.00 ,492
1106398,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,6/25/2020,Retail,Individual,3692,Lucila Aylward,Lucila Aylward,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,4,$14.50 ,58
1106402,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,6/26/2020,Retail,Individual,4096,Mia Walkden,Mia Walkden,Olive Oil,OO304,Extra Virgin Olive Oil - Medium,4,$24.50 ,98
1106567,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/14/2020,Retail,Individual,1928,Zonnya Machon,Zonnya Machon,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,4,$45.00 ,180
1106586,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/17/2020,Retail,Individual,1329,Blondie Maseres,Blondie Maseres,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,$27.00 ,27
1106684,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,7/29/2020,Wholesale,Business,2651,Fadel Inc,Fadel Inc,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,2,$234.00 ,468
1106703,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/1/2020,Wholesale,Business,3709,Gerhold Inc,Gerhold Inc,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,4,$234.00 ,936
1106712,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/2/2020,Retail,Individual,1809,Lanni D'Ambrogi,Lanni D'Ambrogi,Bath products,BP105,Lavender and Olive Oil Lotion,1,$9.99 ,9.99
1106741,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/6/2020,Retail,Individual,1991,Richy Mateiko,Richy Mateiko,Olive Oil,OO308,Basil Extra Virgin Olive Oil,4,$26.00 ,104
1106753,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/8/2020,Retail,Individual,1255,Christiano Tuson,Christiano Tuson,Gift Basket,GB302,Scented Olive Oil Bath Soap Gift Basket,3,$45.00 ,135
1106767,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/10/2020,Retail,Individual,1663,Cally Roughley,Cally Roughley,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,$16.75 ,50.25
1106778,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/11/2020,Wholesale,Business,3612,Borer LLC,Borer LLC,Olive Oil,OO123,Extra Virgin Olive Oil - Trio 12pk,6,$234.00 ,1404
1106896,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/28/2020,Retail,Individual,1663,Cally Roughley,Cally Roughley,Gift Basket,GB106,Basil EVOO Gift Basket,3,$75.00 ,225
1106905,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/29/2020,Retail,Individual,3654,Gabriel Polini,Gabriel Polini,Bath products,BP500,Vanilla and Olive Oil Body Soap,4,$7.45 ,29.8
1106904,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,8/29/2020,Retail,Individual,1333,Shaine McGrann,Shaine McGrann,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,$27.00 ,27
1106956,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/5/2020,Retail,Individual,3050,Damian Murcutt,Damian Murcutt,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,$45.00 ,45
1107033,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/17/2020,Retail,Individual,1991,Richy Mateiko,Richy Mateiko,Olive Oil,OO603,Extra Virgin Olive Oil - Delicate 6pk,3,$114.00 ,342
1107082,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/23/2020,Retail,Individual,1787,Cilka Bonifant,Cilka Bonifant,Olive Oil,OO609,Lemon Extra Virgin Olive Oil 6pk,2,$123.00 ,246
1107108,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,9/28/2020,Wholesale,Business,2402,Daugherty Group,Daugherty Group,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,13,$234.00 ,3042
1107126,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/1/2020,Retail,Individual,2013,Rourke Bernardt,Rourke Bernardt,Olive Oil,OO124,Basil Extra Virgin Olive Oil 12pk,3,$234.00 ,702
1107133,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/2/2020,Retail,Individual,3050,Damian Murcutt,Damian Murcutt,Bath products,BP301,Mandarin and Olive Bath Salts,3,$8.50 ,25.5
1107133,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/2/2020,Retail,Individual,3050,Damian Murcutt,Damian Murcutt,Bath products,BP301,Mandarin and Olive Bath Salts,3,$8.50 ,25.5
1107150,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/4/2020,Retail,Individual,1976,Erik Grinley,Erik Grinley,Bath products,BP305,Mandarin and Olive Oil Lotion,4,$9.99 ,39.96
1107176,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/9/2020,Retail,Individual,4037,Sheena Steuhlmeyer,Sheena Steuhlmeyer,Bath products,BP101,Lavender and Olive Bath Salts,3,$8.50 ,25.5
1107183,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/10/2020,Wholesale,Business,3612,Borer LLC,Borer LLC,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,8,$234.00 ,1872
1107224,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/14/2020,Wholesale,Business,3612,Borer LLC,Borer LLC,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,2,$234.00 ,468
1107239,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/17/2020,Retail,Individual,4037,Sheena Steuhlmeyer,Sheena Steuhlmeyer,Bath products,BP504,Vanilla and Olive Oil Bar Soap 3pk,3,$14.50 ,43.5
1107294,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/24/2020,Wholesale,Business,2402,Daugherty Group,Daugherty Group,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,8,$234.00 ,1872
1107306,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/27/2020,Retail,Individual,1976,Erik Grinley,Erik Grinley,Gift Basket,GB100,Organic EVOO Gift Basket,3,$70.00 ,210
1107314,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,10/28/2020,Retail,Individual,1307,Levon Bhatia,Levon Bhatia,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,$45.00 ,135
1107392,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,11/9/2020,Retail,Individual,1583,Georgianna Harrild,Georgianna Harrild,Bath products,BP305,Mandarin and Olive Oil Lotion,2,$9.99 ,19.98
1107392,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,11/9/2020,Retail,Individual,1583,Georgianna Harrild,Georgianna Harrild,Bath products,BP305,Mandarin and Olive Oil Lotion,2,$9.99 ,19.98
1107432,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,11/14/2020,Retail,Individual,1274,Marianna Folland,Marianna Folland,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,4,$24.50 ,98
1107566,900019019,Alexandra Kundt,Alexandra Kundt,Senior Sales Associate,12/1/2020,Retail,Individual,2013,Rourke Bernardt,Rourke Bernardt,Olive Oil,OO303,Extra Virgin Olive Oil - Delicate,3,$24.50 ,73.5
